chrom	start_CDS	end_CDS	length_CDS	pos_exons	strand	feature	gene_id	gene_name	transcript_id	product
I	2268459	2269121	663	2268459-2269121	+	CDS	SPAC4G9.03	adk1	SPAC4G9.03.1	adenylate kinase Adk1
I	2269381	2271345	1917	2269381-2271147,2271196-2271345	-	CDS	SPAC4G9.04c	pcf11	SPAC4G9.04c.1	mRNA cleavage and polyadenylation specificity factor complex RNA-binding subunit Pcf11
I	2272467	2274325	1746	2272467-2273231,2273303-2273836,2273879-2274325	+	CDS	SPAC4G9.05	mpf1	SPAC4G9.05.1	cytoplasmic meiotic pumilio family RNA-binding protein Mpf1
I	2274487	2274939	342	2274487-2274653,2274719-2274864,2274911-2274939	-	CDS	SPAC4G9.06c	chz1	SPAC4G9.06c.1	histone H2A-H2B dimer chaperone Chz1
I	2276191	2277732	1542	2276191-2277732	+	CDS	SPAC4G9.07	mug133	SPAC4G9.07.1	UPF0300 family protein 2
I	2278549	2282046	3498	2278549-2282046	-	CDS	SPAC4G9.08c	rpc2	SPAC4G9.08c.1	DNA-directed RNA polymerase III complex subunit Rpc2
I	2282543	2285200	2658	2282543-2285200	-	CDS	SPAC4G9.09c	arg11	SPAC4G9.09c.1	N-acetyl-gamma-glutamyl-phosphate reductase/acetylglutamate kinase
I	2286534	2287517	984	2286534-2287517	+	CDS	SPAC4G9.10	arg3	SPAC4G9.10.1	ornithine carbamoyltransferase Arg3
I	2288100	2288699	600	2288100-2288699	-	CDS	SPAC4G9.11c	cmb1	SPAC4G9.11c.1	mitochondrial transcription factor A, and genome packaging protein (TFAM ortholog)
I	2289721	2290302	582	2289721-2290302	+	CDS	SPAC4G9.12	idn1	SPAC4G9.12.1	gluconokinase
I	2290764	2291756	897	2290764-2291516,2291613-2291756	-	CDS	SPAC4G9.13c	vps26	SPAC4G9.13c.1	retromer complex arrestin related endocytic adaptor ubunit Vps26
I	2292945	2293976	666	2292945-2292964,2293014-2293288,2293382-2293404,2293514-2293642,2293690-2293761,2293830-2293976	+	CDS	SPAC4G9.14	sym1	SPAC4G9.14.1	mitochondrial Mpv17/PMP22 family protein Sym1, implicated in pyrimidine or lysine metabolism
I	2294752	2295886	1026	2294752-2294764,2294825-2294955,2295005-2295886	+	CDS	SPAC4G9.15	ifa38	SPAC4G9.15.1	ketoreductase involved in fatty acid elongation
I	2296159	2296731	573	2296159-2296731	-	CDS	SPAC4G9.16c	rpl901	SPAC4G9.16c.1	60S ribosomal protein L9
I	2297025	2298315	1164	2297025-2297239,2297367-2298315	-	CDS	SPAC4G9.17c	mrp5	SPAC4G9.17c.1	mitochondrial ribosomal protein subunit S5
I	2299899	2300711	813	2299899-2300711	+	CDS	SPAC4G9.19	None	SPAC4G9.19.1	DNAJ domain protein DNAJB family
I	2301210	2302507	897	2301210-2302067,2302469-2302507	-	CDS	SPAC4G9.20c	ymc1	SPAC4G9.20c.1	mitochondrial carrier, glutamate/glycine
I	2304534	2304818	285	2304534-2304818	+	CDS	SPAC4G9.22	None	SPAC4G9.22.1	Schizosaccharomyces pombe specific protein
I	2305322	2307637	2166	2305322-2305609,2305658-2306275,2306332-2307414,2307461-2307637	-	CDS	SPAC13G7.01c	erg7	SPAC13G7.01c.1	lanosterol synthase Erg7
I	2308340	2310274	1935	2308340-2310274	-	CDS	SPAC13G7.02c	ssa1	SPAC13G7.02c.1	Hsp70 family heat shock protein Ssa1
I	2311500	2312445	837	2311500-2311654,2311714-2311820,2311871-2312445	+	CDS	SPAC13G7.03	upf3	SPAC13G7.03.1	up-frameshift suppressor 3 family protein
I	2313043	2315313	2271	2313043-2315313	-	CDS	SPAC13G7.04c	mac1	SPAC13G7.04c.1	plasma membrane anchored protein, claudin family, predicted membrane sensor Mac1
I	2317866	2319479	1614	2317866-2319479	+	CDS	SPAC13G7.05	are1	SPAC13G7.05.1	acyl-CoA-sterol acyltransferase Are1
I	2320250	2321050	801	2320250-2321050	+	CDS	SPAC13G7.06	met16	SPAC13G7.06.1	phosphoadenosine phosphosulfate reductase
I	2321547	2322736	966	2321547-2321733,2321780-2322090,2322131-2322188,2322235-2322467,2322519-2322609,2322651-2322736	+	CDS	SPAC13G7.07	arb2	SPAC13G7.07.1	argonaute binding protein 2
I	2322907	2324412	1341	2322907-2323038,2323082-2324092,2324215-2324412	-	CDS	SPAC13G7.08c	crb3	SPAC13G7.08c.1	rixosome complex WD repeat subunit Crb3
I	2325139	2325546	408	2325139-2325546	-	CDS	SPAC13G7.09c	None	SPAC13G7.09c.1	conserved fungal nucleolar protein, implicated in rDNA metabolism or ribosome biogenesis
I	2326267	2327584	1173	2326267-2326482,2326570-2326652,2326711-2327584	+	CDS	SPAC13G7.10	teb1	SPAC13G7.10.1	DNA-binding transcription factor Teb1
I	2327708	2328654	810	2327708-2327870,2327907-2328120,2328222-2328654	+	CDS	SPAC13G7.11	mba1	SPAC13G7.11.1	mitochondrial membrane-associated ribosome receptor Mba1
I	2328988	2330358	1371	2328988-2330358	-	CDS	SPAC13G7.12c	eki1	SPAC13G7.12c.1	choline/ethanolamine kinase Eki1
I	2331159	2332760	1602	2331159-2332760	-	CDS	SPAC13G7.13c	msa1	SPAC13G7.13c.1	RNA-binding protein Msa1
I	2337166	2337684	519	2337166-2337684	-	CDS	SPAC6C3.02c	mix17	SPAC6C3.02c.1	mitochondrial CHCH domain protein Mix17
I	2338853	2339155	303	2338853-2339155	-	CDS	SPAC6C3.03c	None	SPAC6C3.03c.1	Schizosaccharomyces pombe specific protein
I	2340382	2342617	1452	2340382-2340383,2341168-2342617	+	CDS	SPAC6C3.04	cit1	SPAC6C3.04.1	citrate synthase Cit1
I	2343676	2344485	810	2343676-2344485	+	CDS	SPAC6C3.05	meu43	SPAC6C3.05.1	Schizosaccharomyces specific protein Meu43
I	2344641	2347883	3102	2344641-2344777,2344827-2344906,2344958-2345084,2345126-2347883	-	CDS	SPAC6C3.06c	neo1	SPAC6C3.06c.1	Golgi membrane phospholipid translocase (flippase) Neo1
I	2348555	2350102	1548	2348555-2350102	+	CDS	SPAC6C3.07	mug68	SPAC6C3.07.1	Schizosaccharomyces specific protein Mug68
I	2350696	2351538	705	2350696-2350800,2350939-2351538	+	CDS	SPAC6C3.08	nas6	SPAC6C3.08.1	proteasome assembly chaperone, gankyrin
I	2352405	2353662	1008	2352405-2352497,2352542-2352689,2352740-2352796,2352913-2353471,2353512-2353662	+	CDS	SPAC6C3.09	rpp40	SPAC6C3.09.1	RNase P and RNase MRP subunit Rpp40
I	2353867	2356278	2412	2353867-2356278	-	CDS	SPAC17G8.01c	trl1	SPAC17G8.01c.1	tRNA ligase Trl1
I	2357337	2358329	993	2357337-2358329	+	CDS	SPAC17G8.02	urh2	SPAC17G8.02.1	uridine ribohydrolase Urh2
I	2358954	2359553	600	2358954-2359553	-	CDS	SPAC17G8.03c	bur6	SPAC17G8.03c.1	negative cofactor 2 complex subunit Bur6
I	2360530	2360973	222	2360530-2360610,2360731-2360844,2360947-2360973	+	CDS	SPAC17G8.15	wip1	SPAC17G8.15.1	CENP-W ortholog
I	2361074	2361792	459	2361074-2361136,2361227-2361403,2361530-2361602,2361647-2361792	-	CDS	SPAC17G8.04c	arc5	SPAC17G8.04c.1	ARP2/3 actin-organizing complex subunit Arc5
I	2362849	2363541	582	2362849-2362862,2362905-2362993,2363063-2363541	+	CDS	SPAC17G8.05	med20	SPAC17G8.05.1	mediator complex subunit Med20
I	2363893	2365689	1797	2363893-2365689	-	CDS	SPAC17G8.06c	ilv3	SPAC17G8.06c.1	dihydroxy-acid dehydratase Ilv3
I	2366923	2367576	654	2366923-2367576	+	CDS	SPAC17G8.07	yaf9	SPAC17G8.07.1	NuA4 and Swr1 complex YEATS family subunit Yaf9
I	2367870	2369004	864	2367870-2368676,2368948-2369004	-	CDS	SPAC17G8.08c	gdt2	SPAC17G8.08c.1	Golgi Ca(2+)/H(+) antiporter Gdt2
I	2369883	2370453	399	2369883-2369990,2370098-2370219,2370285-2370453	+	CDS	SPAC17G8.09	shg1	SPAC17G8.09.1	Set1C complex subunit Shg1
I	2371092	2371895	804	2371092-2371895	-	CDS	SPAC17G8.10c	dma1	SPAC17G8.10c.1	mitotic spindle checkpoint ubiquitin ligase Dma1
I	2372965	2374035	1071	2372965-2374035	-	CDS	SPAC17G8.11c	imt3	SPAC17G8.11c.1	mannosyltransferase Imt3
I	2376090	2377916	1827	2376090-2377916	+	CDS	SPAC17G8.12	sec3	SPAC17G8.12.1	exocyst complex subunit Exo1
I	2377969	2379355	1224	2377969-2378649,2378697-2378786,2378903-2379355	-	CDS	SPAC17G8.13c	mst2	SPAC17G8.13c.1	histone acetyltransferase Mst2
I	2379927	2383078	2967	2379927-2380018,2380064-2380247,2380289-2380477,2380522-2380723,2380779-2383078	-	CDS	SPAC17G8.14c	pck1	SPAC17G8.14c.1	protein kinase C (PKC)-like Pck1
I	2384274	2384894	417	2384274-2384331,2384399-2384487,2384625-2384894	+	CDS	SPAC22H10.02	None	SPAC22H10.02.1	DUF4452 family conserved fungal protein
I	2385666	2388907	2982	2385666-2385785,2385825-2385898,2385935-2386105,2386148-2386266,2386314-2386483,2386524-2388745,2388802-2388907	-	CDS	SPAC22H10.03c	kap114	SPAC22H10.03c.1	karyopherin/importin beta family nuclear import signal receptor Kap14
I	2389877	2390978	924	2389877-2390037,2390104-2390174,2390287-2390978	+	CDS	SPAC22H10.04	ppa3	SPAC22H10.04.1	serine/threonine protein phosphatase PP2A catalytic subunit Ppa3
I	2391250	2392765	1371	2391250-2392548,2392694-2392765	-	CDS	SPAC22H10.05c	None	SPAC22H10.05c.1	mRNA cleavage and polyadenylation specificity factor complex polyribonucleotide 5'-hydroxyl-kinase subunit
I	2393842	2394123	282	2393842-2394123	-	CDS	SPAC22H10.06c	None	SPAC22H10.06c.1	dubious
I	2394252	2394404	153	2394252-2394404	+	CDS	SPAC22H10.13	zym1	SPAC22H10.13.1	metallothionein Zym1
I	2395694	2397357	1611	2395694-2395702,2395756-2397357	+	CDS	SPAC22H10.07	scd2	SPAC22H10.07.1	Cdc42 GTPase complex scaffold subunit Scd2
I	2398429	2399963	1479	2398429-2399787,2399844-2399963	+	CDS	SPAC22H10.08	None	SPAC22H10.08.1	DUF2009 family protein, conserved in yeast and apicomplexa
I	2400255	2402195	1941	2400255-2402195	+	CDS	SPAC22H10.09	cbp8	SPAC22H10.09.1	cytochrome b translation regulator Cbp8
I	2402608	2404312	1536	2402608-2402762,2402801-2403069,2403112-2403211,2403258-2403533,2403577-2404312	+	CDS	SPAC22H10.10	alp21	SPAC22H10.10.1	tubulin specific chaperone cofactor E
I	2404892	2406781	1890	2404892-2406781	-	CDS	SPAC22H10.11c	crf1	SPAC22H10.11c.1	transcriptional coactivator for ribosomal proteins via TOR signaling pathway Crf1/Ifh1
I	2407937	2409344	1323	2407937-2409137,2409223-2409344	-	CDS	SPAC22H10.12c	gdi1	SPAC22H10.12c.1	GDP dissociation inhibitor Gdi1
I	2409972	2410710	684	2409972-2410345,2410401-2410710	-	CDS	SPAC15F9.01c	glm1	SPAC15F9.01c.1	Glomulin, ubiquitin-protein transferase inhibitor Glm1
I	2411943	2413057	1020	2411943-2412009,2412051-2412984,2413039-2413057	+	CDS	SPAC15F9.02	seh1	SPAC15F9.02.1	GATOR2-SEACAT complex WD repeat subunit Seh1
I	2413482	2414094	372	2413482-2413589,2413668-2413769,2413822-2413893,2413963-2414045,2414088-2414094	-	CDS	SPAC15F9.03c	nxt2	SPAC15F9.03c.1	nuclear import protein Nxt2
I	2414823	2417128	2091	2414823-2415015,2415066-2416032,2416082-2416772,2416889-2417128	-	CDS	SPAC1B9.02c	sck1	SPAC1B9.02c.1	serine/threonine protein kinase S6K family Sck1
I	2419186	2420473	1170	2419186-2419209,2419268-2419327,2419388-2420473	+	CDS	SPAC1B9.03c	None	SPAC1B9.03c.1	RNA-binding protein involved in ribosomal large subunit assembly and maintenance
I	2420826	2426492	5667	2420826-2426492	-	CDS	SPAC6B12.02c	mus7	SPAC6B12.02c.1	DNA repair protein Mus7/Mms22
I	2426751	2427659	909	2426751-2427659	-	CDS	SPAC6B12.03c	bit2	SPAC6B12.03c.1	HbrB family protein involved in TOR signaling Bit2
I	2428907	2429128	222	2428907-2429128	+	CDS	SPAC6B12.18	gon7	SPAC6B12.18.1	EKC/KEOPS complex subunit Gon7
I	2429304	2430569	1266	2429304-2430569	-	CDS	SPAC6B12.04c	None	SPAC6B12.04c.1	2-aminoadipate transaminase
I	2431254	2432141	888	2431254-2432141	-	CDS	SPAC6B12.05c	ies2	SPAC6B12.05c.1	Ino80 complex subunit Ies2
I	2433010	2433363	354	2433010-2433363	-	CDS	SPAC6B12.06c	rrg9	SPAC6B12.06c.1	mitochondrial ribosome assembly protein Rrg9
I	2434312	2435724	1413	2434312-2435724	-	CDS	SPAC6B12.07c	pqr1	SPAC6B12.07c.1	ubiquitin-protein ligase E3, phosphate quantity regulator Pqr1/Spx1
I	2438712	2439988	1143	2438712-2438800,2438935-2439988	+	CDS	SPAC6B12.08	epr1	SPAC6B12.08.1	Atg8-interacting ER-phagy receptor Epr1
I	2440054	2440296	243	2440054-2440296	-	CDS	SPAC6B12.19	rsa3	SPAC6B12.19.1	ribosome assembly protein Rsa3
I	2440541	2441455	915	2440541-2441455	+	CDS	SPAC6B12.09	trm10	SPAC6B12.09.1	tRNA m(1)G methyltransferase Trm10
I	2441690	2443138	1365	2441690-2442980,2443065-2443138	-	CDS	SPAC6B12.10c	spp1	SPAC6B12.10c.1	DNA primase catalytic subunit Spp1
I	2443519	2444628	1014	2443519-2443648,2443705-2444337,2444378-2444628	+	CDS	SPAC6B12.11	drc1	SPAC6B12.11.1	DNA replication preinitiation complex assembly protein
I	2445913	2447790	1878	2445913-2447790	+	CDS	SPAC6B12.12	tom70	SPAC6B12.12.1	mitochondrial TOM complex TPR repeat subunit Tom70
I	2448570	2449109	315	2448570-2448762,2448988-2449109	+	CDS	SPAC6B12.13	None	SPAC6B12.13.1	serine/threonine protein phosphatase PP1 regulatory subunit
I	2449520	2449984	465	2449520-2449984	-	CDS	SPAC6B12.14c	None	SPAC6B12.14c.1	conserved eukaryotic protein, human HAPSTR1 ortholog, stress response protein
I	2452053	2453447	945	2452053-2452178,2452376-2452774,2453028-2453447	+	CDS	SPAC6B12.15	cpc2	SPAC6B12.15.1	ribosome-associated signalling scaffold, receptor of activated C kinase (RACK1) ortholog Cpc2
I	2455210	2456350	1035	2455210-2456155,2456262-2456350	+	CDS	SPAC6B12.16	meu26	SPAC6B12.16.1	DUF4451 family conserved fungal protein
I	2456507	2457552	966	2456507-2457442,2457523-2457552	-	CDS	SPAC32A11.04c	tif212	SPAC32A11.04c.1	translation initiation factor eIF2 beta subunit
I	2457849	2460106	2115	2457849-2457933,2457994-2458489,2458573-2460106	+	CDS	SPAC32A11.01	mug8	SPAC32A11.01.1	DUF1708 (GAP) family conserved fungal protein,cell division site
I	2460469	2463024	2556	2460469-2463024	-	CDS	SPAC32A11.02c	None	SPAC32A11.02c.1	DUF4449 family conserved fungal protein, involved in cell-cell communication in N. crassa, and negative regulation of mating in C. neoformans
I	2465240	2468068	2829	2465240-2468068	-	CDS	SPAC32A11.03c	phx1	SPAC32A11.03c.1	DNA-binding transcription factor, stationary phase-specific Phx1
I	2470179	2472272	2094	2470179-2472272	-	CDS	SPAC19A8.15	trp2	SPAC19A8.15.1	tryptophan synthase
I	2472861	2473478	618	2472861-2473478	-	CDS	SPAC19A8.14	pth2	SPAC19A8.14.1	mitochondrial peptidyl-tRNA hydrolase Pth2
I	2473870	2474655	786	2473870-2474655	-	CDS	SPAC19A8.13	usp101	SPAC19A8.13.1	U1 snRNP-associated protein Usp101
I	2475247	2477472	2226	2475247-2477472	-	CDS	SPAC19A8.12	dcp2	SPAC19A8.12.1	mRNA decapping complex catalytic subunit Dcp2
I	2477869	2478734	741	2477869-2477926,2477967-2478356,2478399-2478590,2478634-2478734	+	CDS	SPAC19A8.11c	irc6	SPAC19A8.11c.1	clathrin coat adaptor Irc6
I	2479016	2479780	765	2479016-2479780	-	CDS	SPAC19A8.10	rfp1	SPAC19A8.10.1	SUMO-targeted ubiquitin-protein ligase subunit Rfp1
I	2480466	2480840	246	2480466-2480521,2480564-2480665,2480716-2480775,2480813-2480840	-	CDS	SPAC19A8.09	yos1	SPAC19A8.09.1	ER to Golgi transport protein Yos1
I	2481315	2484464	3150	2481315-2484464	-	CDS	SPAC19A8.08	upf2	SPAC19A8.08.1	nonsense-mediated decay protein Upf2
I	2485115	2485423	198	2485115-2485270,2485382-2485423	-	CDS	SPAC19A8.16	prl65	SPAC19A8.16.1	tudor domain superfamily protein, potential role in central carbon metabolism based on C. neoformans metabolic data, see PF11160
I	2487238	2488107	870	2487238-2488107	+	CDS	SPAC19A8.07c	imp4	SPAC19A8.07c.1	U3 snoRNP-associated protein Imp4
I	2488487	2489617	1131	2488487-2489617	-	CDS	SPAC19A8.06	pbr1	SPAC19A8.06.1	ER oxidoreductase Pbr1, implicated in lipid metabolism, or protein glycosylation
I	2490640	2492472	1833	2490640-2492472	+	CDS	SPAC19A8.05c	sst4	SPAC19A8.05c.1	sorting receptor for ubiquitinated membrane proteins, ESCRT 0 complex subunit Sst4
I	2492668	2494631	1632	2492668-2494166,2494499-2494631	-	CDS	SPAC19A8.04	erg5	SPAC19A8.04.1	C-22 sterol desaturase (cytochrome P450) Erg5
I	2495487	2497267	1680	2495487-2496566,2496612-2497187,2497244-2497267	-	CDS	SPAC19A8.03	ymr1	SPAC19A8.03.1	phosphatidylinositol-3-phosphatase, myotubularin family
I	2497719	2501458	3642	2497719-2498058,2498157-2501458	-	CDS	SPAC19A8.02	ltc2	SPAC19A8.02.1	ER-plasma membrane tethering protein Ltc2
I	2503384	2506632	3249	2503384-2506632	+	CDS	SPAC19A8.01c	sec73	SPAC19A8.01c.1	ArfGEF Sec73
I	2507335	2507839	354	2507335-2507377,2507417-2507663,2507735-2507788,2507830-2507839	-	CDS	SPAC23H3.02c	ini1	SPAC23H3.02c.1	U2 snRNP-associated RING finger-like protein Ini1
I	2508634	2509947	1230	2508634-2509218,2509260-2509396,2509440-2509947	-	CDS	SPAC23H3.03c	npr2	SPAC23H3.03c.1	GATOR1-SEACIT GTPase activating complex subunit Npr2
I	2511556	2512887	1140	2511556-2511873,2511963-2512344,2512395-2512748,2512802-2512887	+	CDS	SPAC23H3.04	None	SPAC23H3.04.1	conserved fungal multispanning membrane protein
I	2513133	2514329	1197	2513133-2514329	-	CDS	SPAC23H3.05c	swd1	SPAC23H3.05c.1	Set1C complex WD repeat subunit Swd1
I	2515497	2517784	2238	2515497-2516477,2516528-2517784	+	CDS	SPAC23H3.06	apl6	SPAC23H3.06.1	AP-3 adaptor complex subunit Apl6
I	2517957	2518364	318	2517957-2517972,2518014-2518060,2518110-2518364	-	CDS	SPAC23H3.07c	mrp2	SPAC23H3.07c.1	mitochondrial ribosomal protein subunit S14
I	2518819	2519826	963	2518819-2519459,2519505-2519826	-	CDS	SPAC23H3.08c	bub3	SPAC23H3.08c.1	mitotic spindle checkpoint WD repeat protein Bub3
I	2520434	2521564	1131	2520434-2521564	-	CDS	SPAC23H3.09c	gly1	SPAC23H3.09c.1	threonine aldolase Gly1
I	2523773	2525284	1512	2523773-2525284	+	CDS	SPAC23H3.10	ssr2	SPAC23H3.10.1	SWI/SNF and RSC complex subunit Ssr2
I	2525482	2527371	1890	2525482-2527371	-	CDS	SPAC23H3.11c	max1	SPAC23H3.11c.1	plasma membrane beta-glucan biosynthesis protein Max1
I	2527715	2528395	681	2527715-2528395	-	CDS	SPAC23H3.12c	None	SPAC23H3.12c.1	mitochondrial hydrogen/potassium transport system protein
I	2529368	2530837	1065	2529368-2530311,2530717-2530837	-	CDS	SPAC23H3.13c	gpa2	SPAC23H3.13c.1	heterotrimeric G protein alpha-2 subunit Gpa2
I	2534220	2535803	1410	2534220-2534272,2534331-2534439,2534556-2535803	+	CDS	SPAC23H3.14	avl9	SPAC23H3.14.1	post-Golgi vesicle-mediated transport protein Avl9
I	2536151	2537128	978	2536151-2537128	-	CDS	SPAC23H3.15c	ddr48	SPAC23H3.15c.1	DNA damage-responsive protein Ddr48
I	2538439	2539833	1395	2538439-2539833	+	CDS	SPAC25H1.02	jmj1	SPAC25H1.02.1	2-oxoglutarate- and Fe(II)-dependent oxygenase Jmj1
I	2540560	2541166	555	2540560-2540623,2540676-2541166	+	CDS	SPAC25H1.03	atg101	SPAC25H1.03.1	autophagy associated HORMA domain protein Atg101
I	2541607	2542341	735	2541607-2542341	+	CDS	SPAC25H1.04	mug105	SPAC25H1.04.1	K48-linkage specific deubiquitinase
I	2542660	2543313	654	2542660-2543313	+	CDS	SPAC25H1.05	meu29	SPAC25H1.05.1	calcium transport factor
I	2543975	2545201	1227	2543975-2545201	+	CDS	SPAC25H1.06	pcf3	SPAC25H1.06.1	histone H3-H4 chaperone, CAF assembly factor (CAF-1) complex WD repeat subunit C, Pcf3
I	2545426	2545736	207	2545426-2545450,2545513-2545649,2545692-2545736	-	CDS	SPAC25H1.10c	atp19	SPAC25H1.10c.1	F1-FO ATP synthase F(o) subunit K, Atp19
I	2546343	2549000	2658	2546343-2549000	+	CDS	SPAC25H1.07	emc1	SPAC25H1.07.1	ER membrane protein complex subunit Emc1
I	2549223	2550422	1200	2549223-2550422	-	CDS	SPAC25H1.08c	sqt1	SPAC25H1.08c.1	ribosome assembly protein Sqt1
I	2550983	2552524	1542	2550983-2552524	+	CDS	SPAC25H1.09	mde5	SPAC25H1.09.1	alpha-amylase homolog Mde5
I	2552769	2553247	429	2552769-2553164,2553215-2553247	-	CDS	SPAC4A8.02c	None	SPAC4A8.02c.1	conserved protein, UPF0047 family, implicated in thiamine or TPP metabolism
I	2553809	2554960	1152	2553809-2554960	-	CDS	SPAC4A8.03c	ptc4	SPAC4A8.03c.1	mitochondrial serine/threonine protein phosphatase PP2C catalytic subunit Ptc4
I	2557872	2559275	1404	2557872-2559275	+	CDS	SPAC4A8.04	isp6	SPAC4A8.04.1	vacuolar serine protease Isp6
I	2559873	2566187	6315	2559873-2566187	-	CDS	SPAC4A8.05c	myp2	SPAC4A8.05c.1	myosin II heavy chain Myo3
I	2566535	2568271	1737	2566535-2568271	-	CDS	SPAC4A8.06c	None	SPAC4A8.06c.1	esterase/lipase, implicated in fatty acid biosynthetic process
I	2569295	2570819	1377	2569295-2570370,2570460-2570645,2570705-2570819	-	CDS	SPAC4A8.07c	lcb4	SPAC4A8.07c.1	sphingoid long chain base kinase
I	2571122	2574236	2853	2571122-2571415,2571464-2571736,2571776-2573602,2573643-2573732,2573777-2573893,2573932-2574084,2574138-2574236	-	CDS	SPAC4A8.08c	vrs2	SPAC4A8.08c.1	mitochondrial valine-tRNA ligase Vrs2/Vas2
I	2575533	2576485	882	2575533-2576411,2576483-2576485	-	CDS	SPAC4A8.09c	cwf21	SPAC4A8.09c.1	complexed with Cdc5 protein Cwf21
I	2576801	2579322	2358	2576801-2576828,2576993-2579322	+	CDS	SPAC4A8.10	rog1	SPAC4A8.10.1	acylglycerol lipase
I	2579562	2585090	5529	2579562-2585090	-	CDS	SPAC4A8.11c	fas2	SPAC4A8.11c.1	fatty acid synthase alpha subunit Fas2
I	2585942	2586995	999	2585942-2586817,2586873-2586995	-	CDS	SPAC4A8.12c	sds22	SPAC4A8.12c.1	serine/threonine protein phosphatase PP1 regulatory subunit Sds22
I	2587628	2588446	819	2587628-2588446	-	CDS	SPAC4A8.13c	pts1	SPAC4A8.13c.1	20S proteasome complex subunit beta 5
I	2589023	2590294	1230	2589023-2590099,2590142-2590294	+	CDS	SPAC4A8.14	None	SPAC4A8.14.1	ribose-phosphate pyrophosphokinase
I	2591512	2592000	384	2591512-2591549,2591606-2591938,2591988-2592000	-	CDS	SPAC4A8.15c	cdc3	SPAC4A8.15c.1	profilin
I	2592742	2595498	2757	2592742-2595498	-	CDS	SPAC4A8.16c	tif303	SPAC4A8.16c.1	translation initiation factor eIF3c
I	2596385	2596569	147	2596385-2596424,2596463-2596569	+	CDS	SPAC823.17	tom6	SPAC823.17.1	mitochondrial TOM complex subunit Tom6
I	2598277	2599928	1605	2598277-2598465,2598513-2599928	+	CDS	SPAC823.03	ppk15	SPAC823.03.1	serine/threonine protein kinase Ppk15
I	2600251	2601144	840	2600251-2600419,2600474-2601144	+	CDS	SPAC823.04	rrp36	SPAC823.04.1	rRNA processing protein Rrp36
I	2601387	2602344	906	2601387-2601799,2601852-2602344	-	CDS	SPAC823.05c	tlg2	SPAC823.05c.1	SNARE Tlg2
I	2602837	2603304	468	2602837-2603304	+	CDS	SPAC823.06	taf3	SPAC823.06.1	transcription factor TFIID complex subunit Taf3
I	2603937	2604932	996	2603937-2604932	+	CDS	SPAC823.07	pga3	SPAC823.07.1	GPI-phospholipase A2 activity regulator Pga3
I	2605171	2606568	1398	2605171-2606568	-	CDS	SPAC823.08c	rrp3	SPAC823.08c.1	ATP-dependent RNA helicase Rrp3
I	2607161	2608347	1038	2607161-2607262,2607320-2607441,2607494-2608221,2608262-2608347	-	CDS	SPAC823.09c	None	SPAC823.09c.1	threonine aspartase, involved in protein processing
I	2608779	2609737	891	2608779-2609264,2609333-2609737	-	CDS	SPAC823.10c	hem25	SPAC823.10c.1	mitochondrial carrier, glycine Hem25
I	2610853	2612196	1236	2610853-2611023,2611080-2611827,2611880-2612196	+	CDS	SPAC823.11	sgp1	SPAC823.11.1	sphingosine-1-phosphate phosphatase Sgp1/Lcb3
I	2613770	2616490	2721	2613770-2616490	+	CDS	SPAC823.12	vps11	SPAC823.12.1	HOPs/CORVET complex ubiquitin protein ligase E3 subunit Vps11
I	2616787	2617740	954	2616787-2617740	-	CDS	SPAC823.13c	she9	SPAC823.13c.1	mitochondrial inner membrane protein She9/Mdm33
I	2618712	2619716	690	2618712-2618754,2618806-2618844,2619068-2619140,2619182-2619716	+	CDS	SPAC823.14	ptf1	SPAC823.14.1	phosphoric monoester hydrolase Ptf1
I	2620631	2621560	930	2620631-2621560	+	CDS	SPAC823.15	ppa1	SPAC823.15.1	serine/threonine protein phosphatase PP2A catalytic subunit Ppa1
I	2621997	2623232	1008	2621997-2622009,2622050-2622819,2622876-2622982,2623057-2623130,2623189-2623232	-	CDS	SPAC823.16c	atg1802	SPAC823.16c.1	autophagy associated WD repeat protein Atg18b
I	2623628	2625283	1656	2623628-2625283	+	CDS	SPAC7D4.14c	iss10	SPAC7D4.14c.1	MTREC (exosome adaptor) complex proline-rich subunit Iss10/Pir1
I	2625824	2626834	939	2625824-2625838,2625911-2626834	+	CDS	SPAC7D4.13c	None	SPAC7D4.13c.1	Schizosaccharomyces specific protein
I	2627570	2629849	2280	2627570-2629849	+	CDS	SPAC7D4.12c	None	SPAC7D4.12c.1	plasma membrane ThrE amino acid transmembrane transporter family protein
I	2630503	2632812	2310	2630503-2632812	+	CDS	SPAC7D4.11c	sec39	SPAC7D4.11c.1	Dsl1/NZR complex secretory pathway protein Sec39
I	2633039	2634723	1338	2633039-2633048,2633103-2634047,2634190-2634253,2634304-2634406,2634460-2634648,2634697-2634723	-	CDS	SPAC7D4.10	vma13	SPAC7D4.10.1	V-type ATPase V1 subunit H
I	2635194	2636018	825	2635194-2636018	+	CDS	SPAC7D4.09c	dfg10	SPAC7D4.09c.1	ER polyprenol reductase Dfg10
I	2636468	2636566	99	2636468-2636566	-	CDS	SPAC7D4.15c	ost4	SPAC7D4.15c.1	oligosaccharyltransferase complex subunit, Ost4
I	2637570	2637860	291	2637570-2637860	-	CDS	SPAC7D4.08	None	SPAC7D4.08.1	Schizosaccharomyces pombe specific protein
I	2637985	2638296	312	2637985-2638296	+	CDS	SPAC7D4.07c	trx1	SPAC7D4.07c.1	cytosolic thioredoxin Trx1
